añomat,latitud,longitud
2011,5.0712099,-75.488358
2011,5.0650501,-75.500481
2011,5.0756302,-75.48761
2011,5.0690899,-75.493378
2011,5.0646501,-75.507553
2011,,
2011,5.0457001,-75.482063
2011,5.0728998,-75.520447
2011,5.0549102,-75.513542
2011,5.0718198,-75.524338
2011,5.0697699,-75.485313
2011,5.0693498,-75.510063
2011,5.0721698,-75.50032
2011,5.0725198,-75.524696
2011,5.0495501,-75.480911
2011,5.0538702,-75.510307
2011,5.0694599,-75.509666
2011,5.0694599,-75.509666
2011,5.0585599,-75.489578
2011,5.06078,-75.48822
2011,5.0457001,-75.482071
2011,5.0541,-75.489388
2011,5.0699,-75.516129
2011,5.0686002,-75.516541
2011,5.06668,-75.486267
2011,5.06459,-75.495758
2011,5.05231,-75.500061
2011,5.0587602,-75.488373
2011,5.0314298,-75.462692
2011,5.0661998,-75.512489
2011,5.0646501,-75.507553
2011,5.0555401,-75.490067
2011,5.0646501,-75.507553
2011,5.0495601,-75.482788
2011,5.0503101,-75.480118
2011,5.07268,-75.50621
2011,5.06424,-75.500893
2011,5.06778,-75.519836
2011,5.0644698,-75.478561
2011,5.0613198,-75.4991
2011,5.06217,-75.478539
2011,5.0495601,-75.480553
2011,5.0691299,-75.524986
2011,5.0604501,-75.487862
2011,5.0457301,-75.482101
2011,5.0633402,-75.515869
2011,5.0831599,-75.489929
2011,5.0694599,-75.509666
2011,5.06285,-75.496231
2011,5.0296602,-75.537987
2011,5.06493,-75.500938
2011,,
2011,5.06077,-75.480003
2011,5.0522699,-75.489983
2011,5.0694599,-75.509666
2011,5.04703,-75.482887
2011,5.0668201,-75.489319
2011,5.0493598,-75.504051
2011,5.0353298,-75.469437
2011,5.05514,-75.498848
2011,5.0657301,-75.496696
2011,5.0770402,-75.488708
2011,5.066,-75.508774
2011,5.0745001,-75.51609
2011,5.0307398,-75.461319
2011,5.06042,-75.511818
2011,5.0678902,-75.495064
2011,5.0604501,-75.495461
2011,5.05299,-75.500839
2011,5.0608401,-75.496033
2011,5.04919,-75.505257
2011,5.0707898,-75.518913
2011,5.0676599,-75.521942
2011,5.06213,-75.494789
2011,5.0536699,-75.48925
2011,5.0315599,-75.468826
2011,5.0311098,-75.467888
2011,5.07195,-75.520554
2011,5.0643702,-75.490929
2011,5.0646501,-75.507553
2011,5.07195,-75.520554
2011,5.0308299,-75.458702
2011,5.0728998,-75.520447
2011,5.0689802,-75.51564
2011,5.0425901,-75.503166
2011,5.0745702,-75.496887
2011,5.0557599,-75.48259
2011,5.0680799,-75.512848
2011,5.0318098,-75.466049
2011,5.0323701,-75.463867
2011,5.0679998,-75.515182
2011,5.0638299,-75.499191
2011,5.0611801,-75.500488
2011,5.0465999,-75.479424
2011,5.0658302,-75.505074
2011,5.0640001,-75.5009
2011,5.0708799,-75.518341
2011,5.0858498,-75.51432
2011,5.0615001,-75.523933
2011,5.0631299,-75.520523
2011,,
2011,5.06601,-75.494034
2011,,
2011,5.0665202,-75.518509
2011,5.06668,-75.519676
2011,5.0570402,-75.487312
2011,,
2011,5.0563898,-75.50811
2011,5.0528402,-75.486198
2011,5.0620198,-75.474922
2011,5.06042,-75.48822
2011,5.0311198,-75.463089
2011,5.0553598,-75.4879
2011,5.0314999,-75.461502
2011,5.0713601,-75.50135
2011,5.0685802,-75.520782
2011,5.06738,-75.51384
2011,5.04562,-75.500961
2011,5.0616298,-75.497612
2011,5.0454898,-75.502357
2011,5.0711799,-75.520432
2011,5.0588002,-75.488411
2011,,
2011,5.06777,-75.523712
2011,5.0679998,-75.514893
2011,5.0634298,-75.518852
2011,5.06706,-75.514076
2011,5.0721402,-75.517097
2011,5.0668302,-75.519882
2011,5.0310001,-75.46093
2011,5.06949,-75.518631
2011,5.0664201,-75.473129
2011,5.0315499,-75.464859
2011,5.0701499,-75.51564
2011,5.0434299,-75.500351
2011,5.0529299,-75.49823
2011,5.0598602,-75.493202
2011,5.0447302,-75.50412
2011,5.0671,-75.519928
2011,5.0676699,-75.51619
2011,5.0599499,-75.514549
2011,5.0557199,-75.485687
2011,5.06422,-75.508568
2011,5.0652599,-75.512154
2011,5.0457902,-75.480217
2011,5.0520701,-75.486069
2011,5.0722599,-75.499863
2011,5.0650301,-75.495697
2011,5.06669,-75.474571
2011,5.0641198,-75.52404
2011,5.0641198,-75.52404
2011,5.0675201,-75.519073
2011,5.0648999,-75.507027
2011,5.0507302,-75.488838
2011,5.0589299,-75.487312
2011,5.06809,-75.519638
2011,5.0591798,-75.518929
2011,5.0834899,-75.525299
2011,5.0536799,-75.49971
2011,5.0641198,-75.52404
2011,5.0641198,-75.52404
2011,5.0289402,-75.456787
2011,5.0613198,-75.4991
2011,5.0484099,-75.50383
2011,5.0650101,-75.502724
2011,5.05444,-75.457008
2011,5.0591202,-75.514954
2011,5.0621901,-75.498688
2011,5.0687799,-75.489677
2011,5.0647502,-75.502731
2011,5.0654898,-75.478172
2011,5.0687399,-75.521049
2011,5.0646501,-75.507553
2011,5.0550399,-75.486832
2011,5.0668402,-75.499573
2011,5.06675,-75.521881
2011,5.0680099,-75.522499
2011,5.0661998,-75.519302
2011,5.04427,-75.500969
2011,5.0696902,-75.514313
2011,5.0336699,-75.457787
2011,5.0606198,-75.500648
2011,5.09235,-75.54818
2011,5.0602198,-75.488457
2011,5.0323801,-75.457199
2011,,
2011,5.0665202,-75.518547
2011,5.0615101,-75.489723
2011,5.0672898,-75.515137
2011,5.06634,-75.517159
2011,5.06462,-75.512741
2011,5.0646501,-75.507553
2011,5.08323,-75.489502
2011,5.06495,-75.491341
2011,5.0682602,-75.514282
2011,5.06598,-75.517174
2011,5.0475001,-75.501617
2011,5.0754199,-75.49424
2011,5.0590801,-75.493088
2011,5.0657501,-75.504578
2011,5.0757098,-75.517883
2011,5.0668302,-75.512527
2011,5.0661101,-75.521568
2011,5.0750899,-75.519417
2011,5.0613098,-75.50399
2011,5.0728998,-75.520447
2011,5.0671802,-75.518562
2011,5.0752401,-75.524979
2011,5.0741801,-75.526161
2011,5.0609002,-75.475052
2011,5.0495501,-75.490692
2011,5.0629601,-75.517197
2011,5.0587902,-75.486351
2011,5.0462799,-75.48027
2011,5.0640101,-75.497559
2011,5.0655298,-75.519882
2011,5.0458698,-75.500931
2011,5.0616298,-75.519737
2011,,
2011,5.06426,-75.503021
2011,5.0620699,-75.493187
2011,5.0598798,-75.474548
2011,5.06738,-75.519707
2011,5.06251,-75.510048
2011,5.0531001,-75.497742
2011,5.06106,-75.516693
2011,5.0693102,-75.514679
2011,5.0675402,-75.51619
2011,5.0325398,-75.459641
2011,5.05337,-75.488876
2011,5.0599899,-75.514687
2011,5.06568,-75.509529
2011,5.0736399,-75.526527
2011,5.04636,-75.482262
2011,6.2619901,-75.556931
2011,5.0668702,-75.519257
2011,,
2011,5.0598502,-75.525009
2011,5.0708399,-75.517677
2011,5.0652199,-75.490051
2011,5.06706,-75.514076
2011,5.0556898,-75.485451
2011,5.0745902,-75.519112
2011,5.0588102,-75.475594
2011,5.0686598,-75.521049
2011,5.0562,-75.502838
2011,5.0604501,-75.495461
2011,5.0645299,-75.499359
2011,5.0509901,-75.505463
2011,5.0615101,-75.478119
2011,5.06283,-75.496193
2011,5.06319,-75.494469
2011,5.05791,-75.486633
2011,5.0727301,-75.524094
2011,5.06352,-75.523743
2011,5.0646501,-75.507553
2011,5.0310402,-75.46273
2011,5.0716701,-75.521828
2011,5.06991,-75.515633
2011,5.0646501,-75.507553
2011,5.0651698,-75.501442
2011,5.0513301,-75.484482
2011,5.06917,-75.514771
2011,5.0680799,-75.512833
2011,5.06915,-75.518227
2011,5.06741,-75.50766
2011,5.0624499,-75.505318
2011,5.0624499,-75.505318
2011,5.0669999,-75.516052
2011,5.0524201,-75.488571
2011,,
2011,,
2011,5.0859799,-75.527428
2011,5.0626702,-75.485718
2011,5.06743,-75.511559
2011,5.06318,-75.495377
2011,5.06812,-75.520737
2011,5.1325002,-75.549797
2011,5.0687099,-75.521469
2011,5.06991,-75.515953
2011,5.07092,-75.518623
2011,5.0887799,-75.526077
2011,5.0655999,-75.516388
2011,5.0520201,-75.488274
2011,5.0591998,-75.488678
2011,5.0536098,-75.486
2011,5.0320301,-75.46212
2011,5.0671401,-75.512222
2011,5.06814,-75.519127
2011,5.0650902,-75.495064
2011,5.0640101,-75.50293
2011,5.0665302,-75.513901
2011,5.0694599,-75.509666
2011,5.0565801,-75.503883
2011,5.0732698,-75.495178
2011,5.0675201,-75.519073
2011,5.0629101,-75.496262
2011,5.0592999,-75.475502
2011,5.0588999,-75.48893
2011,5.07339,-75.499496
2011,5.0679302,-75.516739
2011,5.0673299,-75.519707
2011,5.07093,-75.514397
2011,5.0459099,-75.481903
2011,5.0651302,-75.501358
2011,5.06603,-75.506821
2011,5.05234,-75.482224
2011,5.0694599,-75.509666
2011,5.0806799,-75.624428
2011,5.07339,-75.517128
2011,5.0530601,-75.49675
2011,5.0787501,-75.52356
2011,5.0640602,-75.519539
2011,5.0632701,-75.478142
2011,5.0753498,-75.537842
2011,5.0599599,-75.509697
2011,5.0309701,-75.470001
2011,5.03162,-75.460991
2011,5.0521598,-75.496513
2011,5.05481,-75.485847
2011,5.0713601,-75.518341
2011,5.06007,-75.50972
2011,5.0696602,-75.491768
2011,5.0668201,-75.517067
2011,5.1047301,-75.53772
2011,5.0667701,-75.521057
2011,5.07585,-75.488373
2011,5.0746799,-75.520027
2011,5.06038,-75.502724
2011,5.0615602,-75.49231
2011,5.0699701,-75.494133
2011,5.0854602,-75.527092
2011,5.04703,-75.500702
2011,5.0692201,-75.517639
2011,5.0595102,-75.490891
2011,5.0327902,-75.456146
2011,5.0655899,-75.503677
2011,5.0700798,-75.517532
2011,5.20258,-75.520416
2011,5.0618601,-75.525917
2011,5.0585899,-75.487823
2011,5.0608401,-75.489227
2011,5.0646501,-75.507553
2011,5.0688601,-75.515221
2011,5.0675602,-75.514236
2011,5.0669599,-75.495911
2011,5.0694599,-75.509666
2011,5.7275701,-75.883469
2011,5.0623398,-75.494377
2011,5.0513902,-75.486801
2011,5.0549898,-75.48465
2011,5.04877,-75.502457
2011,5.0590801,-75.488922
2011,5.0671501,-75.525787
2011,5.0744801,-75.524742
2011,5.0672002,-75.511002
2011,5.0671601,-75.514999
2011,5.0637798,-75.512749
2011,5.0671301,-75.519371
2011,5.0676799,-75.472412
2011,5.07551,-75.487877
2011,5.0719299,-75.489998
2011,5.0636301,-75.52182
2011,5.0608802,-75.479248
2011,5.06915,-75.491249
2011,5.0641799,-75.519913
2011,5.0694599,-75.509666
2011,5.0644002,-75.495644
2011,5.0661702,-75.489166
2011,5.0609999,-75.488533
2011,5.07445,-75.495049
2011,5.0746999,-75.495651
2011,5.0418901,-75.498337
